Threads,Speedup
1,1.0
2,1.914157637507764
3,2.7525746223210623
4,3.3822153491414197
5,3.8861227869061272
6,4.751292553025821
7,4.672059476593725
8,4.345960998817715
9,5.004872007283405
10,4.865865522630858
11,4.863383492205184
12,5.180749180689749
13,5.354642540607422
14,5.508404347512097
15,5.92454973542405
16,5.910661875102919
17,6.063366356310303
18,6.127849524995481
19,5.755399822678312
20,6.59581896598316
21,6.845093332136768
22,6.934158342708441
23,7.325581953731828
24,7.4353759732901175
25,7.33932716710167
26,7.8411590850681065
27,7.853572209995238
28,8.092717603214812
29,7.985225607202681
30,8.353740844684785
31,7.600505704748145
32,6.585212924391877
